Hybridization REF	TCGA-09-0364-01A-02R-0363-07	TCGA-09-0366-01A-01R-0363-07	TCGA-09-0367-01A-01R-0363-07	TCGA-09-0369-01A-01R-0363-07	TCGA-13-0714-01A-01R-0363-07	TCGA-13-0717-01A-01R-0363-07	TCGA-13-0723-01A-02R-0363-07	TCGA-13-0724-01A-01R-0363-07	TCGA-13-0725-01A-01R-0363-07	TCGA-13-0726-01A-01R-0363-07	TCGA-13-0727-01A-01R-0363-07	TCGA-13-0730-01A-01R-0363-07	TCGA-13-0757-01A-01R-0363-07	TCGA-13-0760-01A-01R-0363-07	TCGA-13-0761-01A-01R-0363-07	TCGA-13-0762-01A-01R-0363-07	TCGA-13-0764-01A-03R-0363-07	TCGA-13-0768-01A-01R-0363-07	TCGA-13-0791-01A-01R-0363-07	TCGA-13-0792-01A-01R-0363-07	TCGA-13-0793-01A-01R-0363-07	TCGA-13-0794-01A-01R-0363-07	TCGA-13-0795-01A-01R-0363-07	TCGA-13-0800-01A-01R-0363-07	TCGA-13-0801-01A-01R-0363-07	TCGA-13-0802-01A-01R-0363-07	TCGA-13-0803-01A-01R-0363-07	TCGA-13-0804-01A-01R-0363-07	TCGA-13-0805-01A-01R-0363-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol	log2 lowess normalized (cy5/cy3) collapsed by gene symbol	log2 lowess normalized (cy5/cy3) collapsed by gene symbol	log2 lowess normalized (cy5/cy3) collapsed by gene symbol	log2 lowess normalized (cy5/cy3) collapsed by gene symbol	log2 lowess normalized (cy5/cy3) collapsed by gene symbol	log2 lowess normalized (cy5/cy3) collapsed by gene symbol	log2 lowess normalized (cy5/cy3) collapsed by gene symbol	log2 lowess normalized (cy5/cy3) collapsed by gene symbol	log2 lowess normalized (cy5/cy3) collapsed by gene symbol	log2 lowess normalized (cy5/cy3) collapsed by gene symbol	log2 lowess normalized (cy5/cy3) collapsed by gene symbol	log2 lowess normalized (cy5/cy3) collapsed by gene symbol	log2 lowess normalized (cy5/cy3) collapsed by gene symbol	log2 lowess normalized (cy5/cy3) collapsed by gene symbol	log2 lowess normalized (cy5/cy3) collapsed by gene symbol	log2 lowess normalized (cy5/cy3) collapsed by gene symbol	log2 lowess normalized (cy5/cy3) collapsed by gene symbol	log2 lowess normalized (cy5/cy3) collapsed by gene symbol	log2 lowess normalized (cy5/cy3) collapsed by gene symbol	log2 lowess normalized (cy5/cy3) collapsed by gene symbol	log2 lowess normalized (cy5/cy3) collapsed by gene symbol	log2 lowess normalized (cy5/cy3) collapsed by gene symbol	log2 lowess normalized (cy5/cy3) collapsed by gene symbol	log2 lowess normalized (cy5/cy3) collapsed by gene symbol	log2 lowess normalized (cy5/cy3) collapsed by gene symbol	log2 lowess normalized (cy5/cy3) collapsed by gene symbol	log2 lowess normalized (cy5/cy3) collapsed by gene symbol	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.024	0.0320625	0.1259375	-0.00131249999999999	0.027625	0.2503125	0.0853125	-0.1675	0.012625	-0.058125	0.652875	0.85875	0.34075	-0.227875	-0.1080625	0.18225	-0.0240625	-0.2280625	-0.1714375	-0.149	-0.3191875	0.719375	-0.19775	0.269875	-0.139375	-0.137875	-0.1409375	-0.31875	0.0264375
CREB3L1	0.158333333333333	-0.7455	-0.542833333333333	0.6265	1.01	0.036	0.116833333333333	0.348	0.316666666666667	0.4435	0.527666666666667	0.530333333333333	0.243166666666667	-0.115666666666667	0.3765	0.394333333333333	0.031	0.991333333333333	0.4015	0.214166666666667	1.71083333333333	-0.26	0.478166666666667	0.171333333333333	0.392166666666667	0.279	0.9735	-0.569833333333333	0.688333333333333
RPS11	1.2025	-0.8238	1.4367	0.6141	0.989	1.559	0.00070000000000001	1.059	0.1502	-0.5188	1.3998	0.195	1.0876	0.189	0.4966	0.0979	0.6081	-0.1375	1.0541	1.0619	1.102	1.0599	0.916	0.2691	0.9779	1.0244	1.5694	0.3768	0.9865
PNMA1	1.8598	0.5228	0.027	1.1264	0.4042	0.3362	0.2138	0.515	1.06	-0.4812	1.037	0.4312	-0.2632	-0.356	0.4342	2.4832	0.7214	0.7016	-0.3774	-0.2522	1.2726	0.6682	-0.5794	1.496	-0.324	1.119	0.3572	-0.0548	0.1732
MMP2	-1.358625	-1.043625	-1.505	-0.318	0.1125	-1.226875	-1.17425	-0.345	-0.53875	-0.31075	-1.010125	-0.1545	0.161125	-1.241625	-0.39225	-0.58625	-1.24175	0.95025	-1.439125	-1.492125	-0.00750000000000003	-1.62025	-0.812	-1.3395	-1.3295	-0.593375	-0.946375	-1.157125	-0.0735
C10orf90	-1.9776	-2.0164	-1.9174	-2.142	-1.6948	-2.0088	-2.0294	-1.8742	-2.1074	-1.8632	-1.7096	-1.3372	-1.8476	-1.8982	-1.6154	-1.6968	-1.9492	-1.8422	-1.3868	-1.5724	-1.3442	-1.9136	-1.7126	-1.764	-1.5722	-1.8666	-1.4672	-1.7808	-1.8434
ZHX3	-0.969875	-1.1335	-0.707875	-0.504875	-0.557875	0.039875	-0.637	-0.38825	-0.49975	-0.795125	-0.260125	0.3515	0.04725	-0.3485	-0.847125	-0.229875	-1.41125	0.212875	-0.62475	-1.10425	-0.145	-0.359125	0.155	-0.457375	-0.8925	-0.996125	0.086125	-0.16675	-0.17
ERCC5	1.3554	-0.0422	0.2684	-0.0748	0.632	-0.345	0.1636	0.3164	-0.1952	0.4882	0.5566	0.6024	-0.205	0.483	0.4084	0.391	-0.4112	0.4212	-0.0448	-1.2252	0.3008	0.1128	0.146	-0.3626	0.0602	0.5402	1.3524	0.1716	-0.1106
GPR98	-1.1735	-1.54827272727273	-1.72127272727273	-0.0383	-0.830666666666667	-0.049909090909091	-1.5365	-1.71954545454545	-1.28572727272727	-1.25475	-1.46254545454545	-0.383916666666667	-0.4055	-1.81772727272727	-1.69209090909091	-0.4163	-2.13658333333333	-2.1153	-1.16881818181818	-1.42955555555556	-1.248	-0.966818181818182	-1.28008333333333	-1.27383333333333	-1.68375	-0.693	-1.54254545454545	-0.695181818181818	-2.048
